base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
run_0000_alignments_sorted__run_0000_alignments_sorted	run_0000_alignments_sorted__run_0000_alignments_sorted_Unique_RNA.tab.rc	run_0000_alignments_sorted__run_0000_alignments_sorted_Other.tab.rc	run_0000_alignments_sorted__run_0000_alignments_sorted_Unique_RNAfiltered_run_0000_alignments_sorted__run_0000_alignments_sorted_Unique_RNA.tab.rc	47424	94512	47423	94512	161961	287866
run_0001_alignments_sorted__run_0008_alignments_sorted	run_0001_alignments_sorted__run_0008_alignments_sorted_Unique_RNA.tab.rc	run_0001_alignments_sorted__run_0008_alignments_sorted_Other.tab.rc	run_0001_alignments_sorted__run_0008_alignments_sorted_Unique_RNAfiltered_run_0001_alignments_sorted__run_0008_alignments_sorted_Unique_RNA.tab.rc	80597	23663	80460	23608	161356	493569
run_0002_alignments_sorted__run_0026_alignments_sorted	run_0002_alignments_sorted__run_0026_alignments_sorted_Unique_RNA.tab.rc	run_0002_alignments_sorted__run_0026_alignments_sorted_Other.tab.rc	run_0002_alignments_sorted__run_0026_alignments_sorted_Unique_RNAfiltered_run_0002_alignments_sorted__run_0026_alignments_sorted_Unique_RNA.tab.rc	80845	23697	80845	23697	161961	493161
run_0004_alignments_sorted__run_0015_alignments_sorted	run_0004_alignments_sorted__run_0015_alignments_sorted_Unique_RNA.tab.rc	run_0004_alignments_sorted__run_0015_alignments_sorted_Other.tab.rc	run_0004_alignments_sorted__run_0015_alignments_sorted_Unique_RNAfiltered_run_0004_alignments_sorted__run_0015_alignments_sorted_Unique_RNA.tab.rc	47170	94169	47049	93953	161291	287866
run_0005_alignments_sorted__run_0007_alignments_sorted	run_0005_alignments_sorted__run_0007_alignments_sorted_Unique_RNA.tab.rc	run_0005_alignments_sorted__run_0007_alignments_sorted_Other.tab.rc	run_0005_alignments_sorted__run_0007_alignments_sorted_Unique_RNAfiltered_run_0005_alignments_sorted__run_0007_alignments_sorted_Unique_RNA.tab.rc	47083	94599	46984	94500	161393	286988
run_0006_alignments_sorted__run_0091_alignments_sorted	run_0006_alignments_sorted__run_0091_alignments_sorted_Unique_RNA.tab.rc	run_0006_alignments_sorted__run_0091_alignments_sorted_Other.tab.rc	run_0006_alignments_sorted__run_0091_alignments_sorted_Unique_RNAfiltered_run_0006_alignments_sorted__run_0091_alignments_sorted_Unique_RNA.tab.rc	47094	94627	46938	94385	161434	286989
run_0007_alignments_sorted__run_0082_alignments_sorted	run_0007_alignments_sorted__run_0082_alignments_sorted_Unique_RNA.tab.rc	run_0007_alignments_sorted__run_0082_alignments_sorted_Other.tab.rc	run_0007_alignments_sorted__run_0082_alignments_sorted_Unique_RNAfiltered_run_0007_alignments_sorted__run_0082_alignments_sorted_Unique_RNA.tab.rc	77617	156586	77518	156586	265380	287006
run_0008_alignments_sorted__run_0087_alignments_sorted	run_0008_alignments_sorted__run_0087_alignments_sorted_Unique_RNA.tab.rc	run_0008_alignments_sorted__run_0087_alignments_sorted_Other.tab.rc	run_0008_alignments_sorted__run_0087_alignments_sorted_Unique_RNAfiltered_run_0008_alignments_sorted__run_0087_alignments_sorted_Unique_RNA.tab.rc	90153	185000	90052	185000	310644	286989
run_0010_alignments_sorted__run_0043_alignments_sorted	run_0010_alignments_sorted__run_0043_alignments_sorted_Unique_RNA.tab.rc	run_0010_alignments_sorted__run_0043_alignments_sorted_Other.tab.rc	run_0010_alignments_sorted__run_0043_alignments_sorted_Unique_RNAfiltered_run_0010_alignments_sorted__run_0043_alignments_sorted_Unique_RNA.tab.rc	47280	94905	47223	94905	161961	287029
run_0011_alignments_sorted__run_0088_alignments_sorted	run_0011_alignments_sorted__run_0088_alignments_sorted_Unique_RNA.tab.rc	run_0011_alignments_sorted__run_0088_alignments_sorted_Other.tab.rc	run_0011_alignments_sorted__run_0088_alignments_sorted_Unique_RNAfiltered_run_0011_alignments_sorted__run_0088_alignments_sorted_Unique_RNA.tab.rc	64082	64498	64081	64498	161961	389623
