base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
run_0000_alignments_sorted__run_0000_alignments_sorted	run_0000_alignments_sorted__run_0000_alignments_sorted_Unique_RNA.tab.rc	run_0000_alignments_sorted__run_0000_alignments_sorted_Other.tab.rc	run_0000_alignments_sorted__run_0000_alignments_sorted_Unique_RNAfiltered_run_0000_alignments_sorted__run_0000_alignments_sorted_Unique_RNA.tab.rc	727936	0	727924	0	828119	877492
run_0019_alignments_sorted__run_0044_alignments_sorted	run_0019_alignments_sorted__run_0044_alignments_sorted_Unique_RNA.tab.rc	run_0019_alignments_sorted__run_0044_alignments_sorted_Other.tab.rc	run_0019_alignments_sorted__run_0044_alignments_sorted_Unique_RNAfiltered_run_0019_alignments_sorted__run_0044_alignments_sorted_Unique_RNA.tab.rc	727951	0	727936	0	828119	877509
run_0022_alignments_sorted__run_0024_alignments_sorted	run_0022_alignments_sorted__run_0024_alignments_sorted_Unique_RNA.tab.rc	run_0022_alignments_sorted__run_0024_alignments_sorted_Other.tab.rc	run_0022_alignments_sorted__run_0024_alignments_sorted_Unique_RNAfiltered_run_0022_alignments_sorted__run_0024_alignments_sorted_Unique_RNA.tab.rc	730371	0	726818	0	828763	879763
run_0024_alignments_sorted__run_0051_alignments_sorted	run_0024_alignments_sorted__run_0051_alignments_sorted_Unique_RNA.tab.rc	run_0024_alignments_sorted__run_0051_alignments_sorted_Other.tab.rc	run_0024_alignments_sorted__run_0051_alignments_sorted_Unique_RNAfiltered_run_0024_alignments_sorted__run_0051_alignments_sorted_Unique_RNA.tab.rc	728997	0	727848	0	828119	878779
run_0028_alignments_sorted__run_0067_alignments_sorted	run_0028_alignments_sorted__run_0067_alignments_sorted_Unique_RNA.tab.rc	run_0028_alignments_sorted__run_0067_alignments_sorted_Other.tab.rc	run_0028_alignments_sorted__run_0067_alignments_sorted_Unique_RNAfiltered_run_0028_alignments_sorted__run_0067_alignments_sorted_Unique_RNA.tab.rc	401386	0	401251	0	454455	877467
run_0044_alignments_sorted__run_0057_alignments_sorted	run_0044_alignments_sorted__run_0057_alignments_sorted_Unique_RNA.tab.rc	run_0044_alignments_sorted__run_0057_alignments_sorted_Other.tab.rc	run_0044_alignments_sorted__run_0057_alignments_sorted_Unique_RNAfiltered_run_0044_alignments_sorted__run_0057_alignments_sorted_Unique_RNA.tab.rc	729276	0	726502	0	829666	877492
run_0045_alignments_sorted__run_0086_alignments_sorted	run_0045_alignments_sorted__run_0086_alignments_sorted_Unique_RNA.tab.rc	run_0045_alignments_sorted__run_0086_alignments_sorted_Other.tab.rc	run_0045_alignments_sorted__run_0086_alignments_sorted_Unique_RNAfiltered_run_0045_alignments_sorted__run_0086_alignments_sorted_Unique_RNA.tab.rc	727936	0	727924	0	828119	877492
run_0050_alignments_sorted__run_0055_alignments_sorted	run_0050_alignments_sorted__run_0055_alignments_sorted_Unique_RNA.tab.rc	run_0050_alignments_sorted__run_0055_alignments_sorted_Other.tab.rc	run_0050_alignments_sorted__run_0055_alignments_sorted_Unique_RNAfiltered_run_0050_alignments_sorted__run_0055_alignments_sorted_Unique_RNA.tab.rc	731892	0	725513	0	830477	879803
run_0051_alignments_sorted__run_0028_alignments_sorted	run_0051_alignments_sorted__run_0028_alignments_sorted_Unique_RNA.tab.rc	run_0051_alignments_sorted__run_0028_alignments_sorted_Other.tab.rc	run_0051_alignments_sorted__run_0028_alignments_sorted_Unique_RNAfiltered_run_0051_alignments_sorted__run_0028_alignments_sorted_Unique_RNA.tab.rc	728122	0	727759	0	828342	877492
run_0056_alignments_sorted__run_0090_alignments_sorted	run_0056_alignments_sorted__run_0090_alignments_sorted_Unique_RNA.tab.rc	run_0056_alignments_sorted__run_0090_alignments_sorted_Other.tab.rc	run_0056_alignments_sorted__run_0090_alignments_sorted_Unique_RNAfiltered_run_0056_alignments_sorted__run_0090_alignments_sorted_Unique_RNA.tab.rc	455801	0	455793	0	516645	877492
run_0057_alignments_sorted__run_0049_alignments_sorted	run_0057_alignments_sorted__run_0049_alignments_sorted_Unique_RNA.tab.rc	run_0057_alignments_sorted__run_0049_alignments_sorted_Other.tab.rc	run_0057_alignments_sorted__run_0049_alignments_sorted_Unique_RNAfiltered_run_0057_alignments_sorted__run_0049_alignments_sorted_Unique_RNA.tab.rc	729388	0	726318	0	828119	879257
run_0064_alignments_sorted__run_0093_alignments_sorted	run_0064_alignments_sorted__run_0093_alignments_sorted_Unique_RNA.tab.rc	run_0064_alignments_sorted__run_0093_alignments_sorted_Other.tab.rc	run_0064_alignments_sorted__run_0093_alignments_sorted_Unique_RNAfiltered_run_0064_alignments_sorted__run_0093_alignments_sorted_Unique_RNA.tab.rc	729151	0	726101	0	828130	878947
run_0082_alignments_sorted__run_0001_alignments_sorted	run_0082_alignments_sorted__run_0001_alignments_sorted_Unique_RNA.tab.rc	run_0082_alignments_sorted__run_0001_alignments_sorted_Other.tab.rc	run_0082_alignments_sorted__run_0001_alignments_sorted_Unique_RNAfiltered_run_0082_alignments_sorted__run_0001_alignments_sorted_Unique_RNA.tab.rc	395751	0	395741	0	454529	864782
run_0085_alignments_sorted__run_0033_alignments_sorted	run_0085_alignments_sorted__run_0033_alignments_sorted_Unique_RNA.tab.rc	run_0085_alignments_sorted__run_0033_alignments_sorted_Other.tab.rc	run_0085_alignments_sorted__run_0033_alignments_sorted_Unique_RNAfiltered_run_0085_alignments_sorted__run_0033_alignments_sorted_Unique_RNA.tab.rc	729985	0	726303	0	829250	878779
run_0090_alignments_sorted__run_0059_alignments_sorted	run_0090_alignments_sorted__run_0059_alignments_sorted_Unique_RNA.tab.rc	run_0090_alignments_sorted__run_0059_alignments_sorted_Other.tab.rc	run_0090_alignments_sorted__run_0059_alignments_sorted_Unique_RNAfiltered_run_0090_alignments_sorted__run_0059_alignments_sorted_Unique_RNA.tab.rc	660459	0	659583	0	828985	794791
run_0093_alignments_sorted__run_0048_alignments_sorted	run_0093_alignments_sorted__run_0048_alignments_sorted_Unique_RNA.tab.rc	run_0093_alignments_sorted__run_0048_alignments_sorted_Other.tab.rc	run_0093_alignments_sorted__run_0048_alignments_sorted_Unique_RNAfiltered_run_0093_alignments_sorted__run_0048_alignments_sorted_Unique_RNA.tab.rc	738112	0	727235	0	839842	877520
