base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
dna_output_k_10_T_10_L_3__rna_output_k_5_T_10_L_3__output	dna_output_k_10_T_10_L_3__rna_output_k_5_T_10_L_3__output_Unique_RNA.tab.rc	dna_output_k_10_T_10_L_3__rna_output_k_5_T_10_L_3__output_Other.tab.rc	dna_output_k_10_T_10_L_3__rna_output_k_5_T_10_L_3__output_Unique_RNAfiltered_dna_output_k_10_T_10_L_3__rna_output_k_5_T_10_L_3__output_Unique_RNA.tab.rc	583013	258989	489588	236230	842006	690319
dna_output_k_10_T_10_L_4__rna_output_k_5_T_20_L_5__output	dna_output_k_10_T_10_L_4__rna_output_k_5_T_20_L_5__output_Unique_RNA.tab.rc	dna_output_k_10_T_10_L_4__rna_output_k_5_T_20_L_5__output_Other.tab.rc	dna_output_k_10_T_10_L_4__rna_output_k_5_T_20_L_5__output_Unique_RNAfiltered_dna_output_k_10_T_10_L_4__rna_output_k_5_T_20_L_5__output_Unique_RNA.tab.rc	1430	641	1308	627	2071	690319
dna_output_k_10_T_10_L_5__rna_output_k_19_T_1_L_5__output	dna_output_k_10_T_10_L_5__rna_output_k_19_T_1_L_5__output_Unique_RNA.tab.rc	dna_output_k_10_T_10_L_5__rna_output_k_19_T_1_L_5__output_Other.tab.rc	dna_output_k_10_T_10_L_5__rna_output_k_19_T_1_L_5__output_Unique_RNAfiltered_dna_output_k_10_T_10_L_5__rna_output_k_19_T_1_L_5__output_Unique_RNA.tab.rc	100831	46602	91487	46530	147433	690319
dna_output_k_10_T_1_L_3__rna_output_k_10_T_1_L_3__output	dna_output_k_10_T_1_L_3__rna_output_k_10_T_1_L_3__output_Unique_RNA.tab.rc	dna_output_k_10_T_1_L_3__rna_output_k_10_T_1_L_3__output_Other.tab.rc	dna_output_k_10_T_1_L_3__rna_output_k_10_T_1_L_3__output_Unique_RNAfiltered_dna_output_k_10_T_1_L_3__rna_output_k_10_T_1_L_3__output_Unique_RNA.tab.rc	581959	258515	488724	235838	840478	690319
dna_output_k_10_T_1_L_4__rna_output_k_10_T_30_L_4__output	dna_output_k_10_T_1_L_4__rna_output_k_10_T_30_L_4__output_Unique_RNA.tab.rc	dna_output_k_10_T_1_L_4__rna_output_k_10_T_30_L_4__output_Other.tab.rc	dna_output_k_10_T_1_L_4__rna_output_k_10_T_30_L_4__output_Unique_RNAfiltered_dna_output_k_10_T_1_L_4__rna_output_k_10_T_30_L_4__output_Unique_RNA.tab.rc	0	0	0	0	0	690319
dna_output_k_10_T_1_L_5__rna_output_k_15_T_1_L_5__output	dna_output_k_10_T_1_L_5__rna_output_k_15_T_1_L_5__output_Unique_RNA.tab.rc	dna_output_k_10_T_1_L_5__rna_output_k_15_T_1_L_5__output_Other.tab.rc	dna_output_k_10_T_1_L_5__rna_output_k_15_T_1_L_5__output_Unique_RNAfiltered_dna_output_k_10_T_1_L_5__rna_output_k_15_T_1_L_5__output_Unique_RNA.tab.rc	280769	124234	230335	112556	405005	690319
dna_output_k_10_T_20_L_3__rna_output_k_15_T_10_L_4__output	dna_output_k_10_T_20_L_3__rna_output_k_15_T_10_L_4__output_Unique_RNA.tab.rc	dna_output_k_10_T_20_L_3__rna_output_k_15_T_10_L_4__output_Other.tab.rc	dna_output_k_10_T_20_L_3__rna_output_k_15_T_10_L_4__output_Unique_RNAfiltered_dna_output_k_10_T_20_L_3__rna_output_k_15_T_10_L_4__output_Unique_RNA.tab.rc	47949	51077	44787	47374	405122	117890
dna_output_k_10_T_20_L_4__rna_output_k_10_T_30_L_3__output	dna_output_k_10_T_20_L_4__rna_output_k_10_T_30_L_3__output_Unique_RNA.tab.rc	dna_output_k_10_T_20_L_4__rna_output_k_10_T_30_L_3__output_Other.tab.rc	dna_output_k_10_T_20_L_4__rna_output_k_10_T_30_L_3__output_Unique_RNAfiltered_dna_output_k_10_T_20_L_4__rna_output_k_10_T_30_L_3__output_Unique_RNA.tab.rc	0	0	0	0	0	117890
dna_output_k_10_T_20_L_5__rna_output_k_10_T_10_L_4__output	dna_output_k_10_T_20_L_5__rna_output_k_10_T_10_L_4__output_Unique_RNA.tab.rc	dna_output_k_10_T_20_L_5__rna_output_k_10_T_10_L_4__output_Other.tab.rc	dna_output_k_10_T_20_L_5__rna_output_k_10_T_10_L_4__output_Unique_RNAfiltered_dna_output_k_10_T_20_L_5__rna_output_k_10_T_10_L_4__output_Unique_RNA.tab.rc	98345	106279	90117	96973	840478	117890
dna_output_k_10_T_30_L_3__rna_output_k_5_T_20_L_4__output	dna_output_k_10_T_30_L_3__rna_output_k_5_T_20_L_4__output_Unique_RNA.tab.rc	dna_output_k_10_T_30_L_3__rna_output_k_5_T_20_L_4__output_Other.tab.rc	dna_output_k_10_T_30_L_3__rna_output_k_5_T_20_L_4__output_Unique_RNAfiltered_dna_output_k_10_T_30_L_3__rna_output_k_5_T_20_L_4__output_Unique_RNA.tab.rc	0	0	0	0	2071	0
dna_output_k_10_T_30_L_4__rna_output_k_5_T_30_L_4__output	dna_output_k_10_T_30_L_4__rna_output_k_5_T_30_L_4__output_Unique_RNA.tab.rc	dna_output_k_10_T_30_L_4__rna_output_k_5_T_30_L_4__output_Other.tab.rc	dna_output_k_10_T_30_L_4__rna_output_k_5_T_30_L_4__output_Unique_RNAfiltered_dna_output_k_10_T_30_L_4__rna_output_k_5_T_30_L_4__output_Unique_RNA.tab.rc	0	0	0	0	0	0
dna_output_k_10_T_30_L_5__rna_output_k_19_T_10_L_4__output	dna_output_k_10_T_30_L_5__rna_output_k_19_T_10_L_4__output_Unique_RNA.tab.rc	dna_output_k_10_T_30_L_5__rna_output_k_19_T_10_L_4__output_Other.tab.rc	dna_output_k_10_T_30_L_5__rna_output_k_19_T_10_L_4__output_Unique_RNAfiltered_dna_output_k_10_T_30_L_5__rna_output_k_19_T_10_L_4__output_Unique_RNA.tab.rc	0	0	0	0	147433	0
dna_output_k_15_T_10_L_3__rna_output_k_5_T_30_L_5__output	dna_output_k_15_T_10_L_3__rna_output_k_5_T_30_L_5__output_Unique_RNA.tab.rc	dna_output_k_15_T_10_L_3__rna_output_k_5_T_30_L_5__output_Other.tab.rc	dna_output_k_15_T_10_L_3__rna_output_k_5_T_30_L_5__output_Unique_RNAfiltered_dna_output_k_15_T_10_L_3__rna_output_k_5_T_30_L_5__output_Unique_RNA.tab.rc	0	0	0	0	0	513556
dna_output_k_15_T_10_L_4__rna_output_k_10_T_20_L_5__output	dna_output_k_15_T_10_L_4__rna_output_k_10_T_20_L_5__output_Unique_RNA.tab.rc	dna_output_k_15_T_10_L_4__rna_output_k_10_T_20_L_5__output_Other.tab.rc	dna_output_k_15_T_10_L_4__rna_output_k_10_T_20_L_5__output_Unique_RNAfiltered_dna_output_k_15_T_10_L_4__rna_output_k_10_T_20_L_5__output_Unique_RNA.tab.rc	1078	983	1018	958	2070	513556
dna_output_k_15_T_10_L_5__rna_output_k_19_T_10_L_5__output	dna_output_k_15_T_10_L_5__rna_output_k_19_T_10_L_5__output_Unique_RNA.tab.rc	dna_output_k_15_T_10_L_5__rna_output_k_19_T_10_L_5__output_Other.tab.rc	dna_output_k_15_T_10_L_5__rna_output_k_19_T_10_L_5__output_Unique_RNAfiltered_dna_output_k_15_T_10_L_5__rna_output_k_19_T_10_L_5__output_Unique_RNA.tab.rc	76107	70885	71758	70763	147433	513556
dna_output_k_15_T_1_L_3__rna_output_k_15_T_1_L_4__output	dna_output_k_15_T_1_L_3__rna_output_k_15_T_1_L_4__output_Unique_RNA.tab.rc	dna_output_k_15_T_1_L_3__rna_output_k_15_T_1_L_4__output_Other.tab.rc	dna_output_k_15_T_1_L_3__rna_output_k_15_T_1_L_4__output_Unique_RNAfiltered_dna_output_k_15_T_1_L_3__rna_output_k_15_T_1_L_4__output_Unique_RNA.tab.rc	208970	194808	184568	179754	405122	513556
dna_output_k_15_T_1_L_4__rna_output_k_19_T_20_L_5__output	dna_output_k_15_T_1_L_4__rna_output_k_19_T_20_L_5__output_Unique_RNA.tab.rc	dna_output_k_15_T_1_L_4__rna_output_k_19_T_20_L_5__output_Other.tab.rc	dna_output_k_15_T_1_L_4__rna_output_k_19_T_20_L_5__output_Unique_RNAfiltered_dna_output_k_15_T_1_L_4__rna_output_k_19_T_20_L_5__output_Unique_RNA.tab.rc	1699	1609	1600	1575	3319	513556
dna_output_k_15_T_1_L_5__rna_output_k_15_T_30_L_4__output	dna_output_k_15_T_1_L_5__rna_output_k_15_T_30_L_4__output_Unique_RNA.tab.rc	dna_output_k_15_T_1_L_5__rna_output_k_15_T_30_L_4__output_Other.tab.rc	dna_output_k_15_T_1_L_5__rna_output_k_15_T_30_L_4__output_Unique_RNAfiltered_dna_output_k_15_T_1_L_5__rna_output_k_15_T_30_L_4__output_Unique_RNA.tab.rc	0	0	0	0	0	513556
