base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
dna_output_10_rna_output_10	dna_output_10_rna_output_10_Unique_RNA.tab.rc	dna_output_10_rna_output_10_Other.tab.rc	dna_output_10_rna_output_10_Unique_RNAfiltered_dna_output_10_rna_output_10_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_11_rna_output_11	dna_output_11_rna_output_11_Unique_RNA.tab.rc	dna_output_11_rna_output_11_Other.tab.rc	dna_output_11_rna_output_11_Unique_RNAfiltered_dna_output_11_rna_output_11_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_12_rna_output_12	dna_output_12_rna_output_12_Unique_RNA.tab.rc	dna_output_12_rna_output_12_Other.tab.rc	dna_output_12_rna_output_12_Unique_RNAfiltered_dna_output_12_rna_output_12_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_1_rna_output_1	dna_output_1_rna_output_1_Unique_RNA.tab.rc	dna_output_1_rna_output_1_Other.tab.rc	dna_output_1_rna_output_1_Unique_RNAfiltered_dna_output_1_rna_output_1_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_2_rna_output_2	dna_output_2_rna_output_2_Unique_RNA.tab.rc	dna_output_2_rna_output_2_Other.tab.rc	dna_output_2_rna_output_2_Unique_RNAfiltered_dna_output_2_rna_output_2_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_3_rna_output_3	dna_output_3_rna_output_3_Unique_RNA.tab.rc	dna_output_3_rna_output_3_Other.tab.rc	dna_output_3_rna_output_3_Unique_RNAfiltered_dna_output_3_rna_output_3_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_4_rna_output_4	dna_output_4_rna_output_4_Unique_RNA.tab.rc	dna_output_4_rna_output_4_Other.tab.rc	dna_output_4_rna_output_4_Unique_RNAfiltered_dna_output_4_rna_output_4_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_5_rna_output_5	dna_output_5_rna_output_5_Unique_RNA.tab.rc	dna_output_5_rna_output_5_Other.tab.rc	dna_output_5_rna_output_5_Unique_RNAfiltered_dna_output_5_rna_output_5_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_6_rna_output_6	dna_output_6_rna_output_6_Unique_RNA.tab.rc	dna_output_6_rna_output_6_Other.tab.rc	dna_output_6_rna_output_6_Unique_RNAfiltered_dna_output_6_rna_output_6_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_7_rna_output_7	dna_output_7_rna_output_7_Unique_RNA.tab.rc	dna_output_7_rna_output_7_Other.tab.rc	dna_output_7_rna_output_7_Unique_RNAfiltered_dna_output_7_rna_output_7_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_8_rna_output_8	dna_output_8_rna_output_8_Unique_RNA.tab.rc	dna_output_8_rna_output_8_Other.tab.rc	dna_output_8_rna_output_8_Unique_RNAfiltered_dna_output_8_rna_output_8_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_9_rna_output_9	dna_output_9_rna_output_9_Unique_RNA.tab.rc	dna_output_9_rna_output_9_Other.tab.rc	dna_output_9_rna_output_9_Unique_RNAfiltered_dna_output_9_rna_output_9_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
