base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
dna_output_100_rna_output_100	dna_output_100_rna_output_100_Unique_RNA.tab.rc	dna_output_100_rna_output_100_Other.tab.rc	dna_output_100_rna_output_100_Unique_RNAfiltered_dna_output_100_rna_output_100_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646383
dna_output_101_rna_output_101	dna_output_101_rna_output_101_Unique_RNA.tab.rc	dna_output_101_rna_output_101_Other.tab.rc	dna_output_101_rna_output_101_Unique_RNAfiltered_dna_output_101_rna_output_101_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_102_rna_output_102	dna_output_102_rna_output_102_Unique_RNA.tab.rc	dna_output_102_rna_output_102_Other.tab.rc	dna_output_102_rna_output_102_Unique_RNAfiltered_dna_output_102_rna_output_102_Unique_RNA.tab.rc	116618	33508	116585	33500	178193	646343
dna_output_103_rna_output_103	dna_output_103_rna_output_103_Unique_RNA.tab.rc	dna_output_103_rna_output_103_Other.tab.rc	dna_output_103_rna_output_103_Unique_RNAfiltered_dna_output_103_rna_output_103_Unique_RNA.tab.rc	116773	33560	116659	33531	178457	646343
dna_output_104_rna_output_104	dna_output_104_rna_output_104_Unique_RNA.tab.rc	dna_output_104_rna_output_104_Other.tab.rc	dna_output_104_rna_output_104_Unique_RNAfiltered_dna_output_104_rna_output_104_Unique_RNA.tab.rc	116747	33552	116608	33512	178416	646325
dna_output_105_rna_output_105	dna_output_105_rna_output_105_Unique_RNA.tab.rc	dna_output_105_rna_output_105_Other.tab.rc	dna_output_105_rna_output_105_Unique_RNAfiltered_dna_output_105_rna_output_105_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646374
dna_output_106_rna_output_106	dna_output_106_rna_output_106_Unique_RNA.tab.rc	dna_output_106_rna_output_106_Other.tab.rc	dna_output_106_rna_output_106_Unique_RNAfiltered_dna_output_106_rna_output_106_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646383
dna_output_107_rna_output_107	dna_output_107_rna_output_107_Unique_RNA.tab.rc	dna_output_107_rna_output_107_Other.tab.rc	dna_output_107_rna_output_107_Unique_RNAfiltered_dna_output_107_rna_output_107_Unique_RNA.tab.rc	116772	33561	116658	33532	178457	646325
dna_output_108_rna_output_108	dna_output_108_rna_output_108_Unique_RNA.tab.rc	dna_output_108_rna_output_108_Other.tab.rc	dna_output_108_rna_output_108_Unique_RNAfiltered_dna_output_108_rna_output_108_Unique_RNA.tab.rc	116617	33509	116584	33501	178193	646325
dna_output_109_rna_output_109	dna_output_109_rna_output_109_Unique_RNA.tab.rc	dna_output_109_rna_output_109_Other.tab.rc	dna_output_109_rna_output_109_Unique_RNAfiltered_dna_output_109_rna_output_109_Unique_RNA.tab.rc	116778	33563	116663	33534	178457	646383
dna_output_10_rna_output_10	dna_output_10_rna_output_10_Unique_RNA.tab.rc	dna_output_10_rna_output_10_Other.tab.rc	dna_output_10_rna_output_10_Unique_RNAfiltered_dna_output_10_rna_output_10_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646374
dna_output_110_rna_output_110	dna_output_110_rna_output_110_Unique_RNA.tab.rc	dna_output_110_rna_output_110_Other.tab.rc	dna_output_110_rna_output_110_Unique_RNAfiltered_dna_output_110_rna_output_110_Unique_RNA.tab.rc	116748	33551	116609	33511	178416	646343
