base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
run_0000_Aligned.out_sorted__run_0074_Aligned.out_sorted	run_0000_Aligned.out_sorted__run_0074_Aligned.out_sorted_Unique_RNA.tab.rc	run_0000_Aligned.out_sorted__run_0074_Aligned.out_sorted_Other.tab.rc	run_0000_Aligned.out_sorted__run_0074_Aligned.out_sorted_Unique_RNAfiltered_run_0000_Aligned.out_sorted__run_0074_Aligned.out_sorted_Unique_RNA.tab.rc	242279	137422	231728	132928	419498	567318
run_0001_Aligned.out_sorted__run_0046_Aligned.out_sorted	run_0001_Aligned.out_sorted__run_0046_Aligned.out_sorted_Unique_RNA.tab.rc	run_0001_Aligned.out_sorted__run_0046_Aligned.out_sorted_Other.tab.rc	run_0001_Aligned.out_sorted__run_0046_Aligned.out_sorted_Unique_RNAfiltered_run_0001_Aligned.out_sorted__run_0046_Aligned.out_sorted_Unique_RNA.tab.rc	233232	142837	224297	137823	425198	538035
run_0002_Aligned.out_sorted__run_0097_Aligned.out_sorted	run_0002_Aligned.out_sorted__run_0097_Aligned.out_sorted_Unique_RNA.tab.rc	run_0002_Aligned.out_sorted__run_0097_Aligned.out_sorted_Other.tab.rc	run_0002_Aligned.out_sorted__run_0097_Aligned.out_sorted_Unique_RNAfiltered_run_0002_Aligned.out_sorted__run_0097_Aligned.out_sorted_Unique_RNA.tab.rc	208330	126911	203257	124474	379505	538030
run_0003_Aligned.out_sorted__run_0010_Aligned.out_sorted	run_0003_Aligned.out_sorted__run_0010_Aligned.out_sorted_Unique_RNA.tab.rc	run_0003_Aligned.out_sorted__run_0010_Aligned.out_sorted_Other.tab.rc	run_0003_Aligned.out_sorted__run_0010_Aligned.out_sorted_Unique_RNAfiltered_run_0003_Aligned.out_sorted__run_0010_Aligned.out_sorted_Unique_RNA.tab.rc	240783	131501	228877	126781	406453	581585
run_0004_Aligned.out_sorted__run_0030_Aligned.out_sorted	run_0004_Aligned.out_sorted__run_0030_Aligned.out_sorted_Unique_RNA.tab.rc	run_0004_Aligned.out_sorted__run_0030_Aligned.out_sorted_Other.tab.rc	run_0004_Aligned.out_sorted__run_0030_Aligned.out_sorted_Unique_RNAfiltered_run_0004_Aligned.out_sorted__run_0030_Aligned.out_sorted_Unique_RNA.tab.rc	231314	130838	224145	128532	398891	569127
run_0005_Aligned.out_sorted__run_0000_Aligned.out_sorted	run_0005_Aligned.out_sorted__run_0000_Aligned.out_sorted_Unique_RNA.tab.rc	run_0005_Aligned.out_sorted__run_0000_Aligned.out_sorted_Other.tab.rc	run_0005_Aligned.out_sorted__run_0000_Aligned.out_sorted_Unique_RNAfiltered_run_0005_Aligned.out_sorted__run_0000_Aligned.out_sorted_Unique_RNA.tab.rc	234927	133051	224236	128480	405079	569049
run_0006_Aligned.out_sorted__run_0012_Aligned.out_sorted	run_0006_Aligned.out_sorted__run_0012_Aligned.out_sorted_Unique_RNA.tab.rc	run_0006_Aligned.out_sorted__run_0012_Aligned.out_sorted_Other.tab.rc	run_0006_Aligned.out_sorted__run_0012_Aligned.out_sorted_Unique_RNAfiltered_run_0006_Aligned.out_sorted__run_0012_Aligned.out_sorted_Unique_RNA.tab.rc	245789	139731	234613	134893	424863	568002
run_0007_Aligned.out_sorted__run_0035_Aligned.out_sorted	run_0007_Aligned.out_sorted__run_0035_Aligned.out_sorted_Unique_RNA.tab.rc	run_0007_Aligned.out_sorted__run_0035_Aligned.out_sorted_Other.tab.rc	run_0007_Aligned.out_sorted__run_0035_Aligned.out_sorted_Unique_RNAfiltered_run_0007_Aligned.out_sorted__run_0035_Aligned.out_sorted_Unique_RNA.tab.rc	236611	134076	229064	131594	408313	569121
run_0008_Aligned.out_sorted__run_0018_Aligned.out_sorted	run_0008_Aligned.out_sorted__run_0018_Aligned.out_sorted_Unique_RNA.tab.rc	run_0008_Aligned.out_sorted__run_0018_Aligned.out_sorted_Other.tab.rc	run_0008_Aligned.out_sorted__run_0018_Aligned.out_sorted_Unique_RNAfiltered_run_0008_Aligned.out_sorted__run_0018_Aligned.out_sorted_Unique_RNA.tab.rc	246242	139701	234929	134866	424863	569127
run_0009_Aligned.out_sorted__run_0070_Aligned.out_sorted	run_0009_Aligned.out_sorted__run_0070_Aligned.out_sorted_Unique_RNA.tab.rc	run_0009_Aligned.out_sorted__run_0070_Aligned.out_sorted_Other.tab.rc	run_0009_Aligned.out_sorted__run_0070_Aligned.out_sorted_Unique_RNAfiltered_run_0009_Aligned.out_sorted__run_0070_Aligned.out_sorted_Unique_RNA.tab.rc	246238	139702	234902	134866	424865	569123
