base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
run_0004_Aligned.out_sorted__run_0030_Aligned.out_sorted	run_0004_Aligned.out_sorted__run_0030_Aligned.out_sorted_Unique_RNA.tab.rc	run_0004_Aligned.out_sorted__run_0030_Aligned.out_sorted_Other.tab.rc	run_0004_Aligned.out_sorted__run_0030_Aligned.out_sorted_Unique_RNAfiltered_run_0004_Aligned.out_sorted__run_0030_Aligned.out_sorted_Unique_RNA.tab.rc	826188	0	559210	0	908015	908555
run_0007_Aligned.out_sorted__run_0035_Aligned.out_sorted	run_0007_Aligned.out_sorted__run_0035_Aligned.out_sorted_Unique_RNA.tab.rc	run_0007_Aligned.out_sorted__run_0035_Aligned.out_sorted_Other.tab.rc	run_0007_Aligned.out_sorted__run_0035_Aligned.out_sorted_Unique_RNAfiltered_run_0007_Aligned.out_sorted__run_0035_Aligned.out_sorted_Unique_RNA.tab.rc	829289	0	563770	0	911519	908542
run_0011_Aligned.out_sorted__run_0094_Aligned.out_sorted	run_0011_Aligned.out_sorted__run_0094_Aligned.out_sorted_Unique_RNA.tab.rc	run_0011_Aligned.out_sorted__run_0094_Aligned.out_sorted_Other.tab.rc	run_0011_Aligned.out_sorted__run_0094_Aligned.out_sorted_Unique_RNAfiltered_run_0011_Aligned.out_sorted__run_0094_Aligned.out_sorted_Unique_RNA.tab.rc	822760	0	561061	0	929668	883491
run_0014_Aligned.out_sorted__run_0021_Aligned.out_sorted	run_0014_Aligned.out_sorted__run_0021_Aligned.out_sorted_Unique_RNA.tab.rc	run_0014_Aligned.out_sorted__run_0021_Aligned.out_sorted_Other.tab.rc	run_0014_Aligned.out_sorted__run_0021_Aligned.out_sorted_Unique_RNAfiltered_run_0014_Aligned.out_sorted__run_0021_Aligned.out_sorted_Unique_RNA.tab.rc	847661	0	565179	0	931416	908529
run_0015_Aligned.out_sorted__run_0079_Aligned.out_sorted	run_0015_Aligned.out_sorted__run_0079_Aligned.out_sorted_Unique_RNA.tab.rc	run_0015_Aligned.out_sorted__run_0079_Aligned.out_sorted_Other.tab.rc	run_0015_Aligned.out_sorted__run_0079_Aligned.out_sorted_Unique_RNAfiltered_run_0015_Aligned.out_sorted__run_0079_Aligned.out_sorted_Unique_RNA.tab.rc	789589	0	539798	0	889120	886537
run_0028_Aligned.out_sorted__run_0002_Aligned.out_sorted	run_0028_Aligned.out_sorted__run_0002_Aligned.out_sorted_Unique_RNA.tab.rc	run_0028_Aligned.out_sorted__run_0002_Aligned.out_sorted_Other.tab.rc	run_0028_Aligned.out_sorted__run_0002_Aligned.out_sorted_Unique_RNAfiltered_run_0028_Aligned.out_sorted__run_0002_Aligned.out_sorted_Unique_RNA.tab.rc	826205	0	559204	0	908017	908574
run_0045_Aligned.out_sorted__run_0061_Aligned.out_sorted	run_0045_Aligned.out_sorted__run_0061_Aligned.out_sorted_Unique_RNA.tab.rc	run_0045_Aligned.out_sorted__run_0061_Aligned.out_sorted_Other.tab.rc	run_0045_Aligned.out_sorted__run_0061_Aligned.out_sorted_Unique_RNAfiltered_run_0045_Aligned.out_sorted__run_0061_Aligned.out_sorted_Unique_RNA.tab.rc	826163	0	560072	0	910010	906556
run_0051_Aligned.out_sorted__run_0051_Aligned.out_sorted	run_0051_Aligned.out_sorted__run_0051_Aligned.out_sorted_Unique_RNA.tab.rc	run_0051_Aligned.out_sorted__run_0051_Aligned.out_sorted_Other.tab.rc	run_0051_Aligned.out_sorted__run_0051_Aligned.out_sorted_Unique_RNAfiltered_run_0051_Aligned.out_sorted__run_0051_Aligned.out_sorted_Unique_RNA.tab.rc	810770	0	566156	0	911438	888276
run_0065_Aligned.out_sorted__run_0026_Aligned.out_sorted	run_0065_Aligned.out_sorted__run_0026_Aligned.out_sorted_Unique_RNA.tab.rc	run_0065_Aligned.out_sorted__run_0026_Aligned.out_sorted_Other.tab.rc	run_0065_Aligned.out_sorted__run_0026_Aligned.out_sorted_Unique_RNAfiltered_run_0065_Aligned.out_sorted__run_0026_Aligned.out_sorted_Unique_RNA.tab.rc	846431	0	562923	0	930147	908508
run_0068_Aligned.out_sorted__run_0014_Aligned.out_sorted	run_0068_Aligned.out_sorted__run_0014_Aligned.out_sorted_Unique_RNA.tab.rc	run_0068_Aligned.out_sorted__run_0014_Aligned.out_sorted_Other.tab.rc	run_0068_Aligned.out_sorted__run_0014_Aligned.out_sorted_Unique_RNAfiltered_run_0068_Aligned.out_sorted__run_0014_Aligned.out_sorted_Unique_RNA.tab.rc	846476	0	562934	0	930199	908508
run_0073_Aligned.out_sorted__run_0099_Aligned.out_sorted	run_0073_Aligned.out_sorted__run_0099_Aligned.out_sorted_Unique_RNA.tab.rc	run_0073_Aligned.out_sorted__run_0099_Aligned.out_sorted_Other.tab.rc	run_0073_Aligned.out_sorted__run_0099_Aligned.out_sorted_Unique_RNAfiltered_run_0073_Aligned.out_sorted__run_0099_Aligned.out_sorted_Unique_RNA.tab.rc	823622	0	560867	0	930271	883855
